ABY|ALBERT BRAY|108750|0|1|195|49971811|2704953|403|LF
ABY|ALBERT BRAY|321000|0|0|195|49976250|2809417|0|LF
AC|ANLOC|320000|0|0|195|10939103|107188444|0|VV
AC|NANTUCKET WAIVS|248000|0|0|195|41311233|-69986681|0|K6
AC|AJACCIO NAPOLEON BONAPARTE|110300|0|1|195|41913717|8798089|56|LF
AC|PLEASANT LAKE|230000|0|0|195|43860909|-66043597|0|CY
AC|BACAU|426000|0|0|195|46592778|26882222|0|LR
AC|HULTSFRED|335000|0|0|195|57531861|15800583|0|ES
ACA|ACAPULCO|115900|1|1|195|16758472|-99753964|33|MM
ACC|ACCRA|113100|1|1|195|5634111|-155344|205|DG
ACD|ALCOBENDAS|417000|0|0|195|40585670|-3676511|0|LE
ACE|KACHEMAK|277000|0|0|195|59641333|-151500306|0|PA
ACH|ANTON CHICO|117800|1|1|195|35111706|-105039928|5450|K2
ACJ|ARACAJU|355000|0|0|195|-10986834|-37075333|0|SB
ACK|NANTUCKET|116200|1|1|195|41281886|-70026711|99|K6
ACO|ATICO|202000|0|0|195|-16243611|-73578611|0|SP
ACO|AKRON|114400|1|1|195|41107900|-81201508|1194|K5
ACQ|WASECA|371000|0|0|195|44070242|-93552445|0|K3
ACT|WACO|115300|1|1|195|31662331|-97269036|510|K4
ACU|EAST KURUPA|268000|0|0|195|68840131|-153315992|0|PA
ACV|ARCATA|110200|1|1|195|40981442|-124108319|190|K2
ACY|ATLANTIC CITY|108600|1|1|195|39455872|-74576320|67|K6
ACZ|PENDY|379000|0|0|195|34716278|-78003594|0|K7
AD|ADELAIDE|116400|1|1|195|-34946945|138524445|20|YM
AD|ARANDIS|327500|0|0|195|-22466667|14958334|0|FY
AD|RENGAT|280000|0|0|195|-349161|102335545|0|WI
AD|ABIDJAN|327000|0|0|195|5281389|-3917584|0|DI
AD|ABIDJAN|114300|1|1|195|5282806|-3917000|30|DI
AD|ADEN|361000|0|0|195|12870278|45005556|0|OY
AD|BRONS|407000|0|0|195|33044567|-96870559|0|K4
AD|ADNAN|115000|1|1|195|33234886|44046508|113|OR
AD|ANDIZHAN|422000|0|0|195|40733333|72308333|0|UT
AD|KRALJEVO/LADEVCI|387000|0|0|195|43754417|20664278|0|LY
AD|MOSCOW-SHEM|700000|0|0|195|55984167|37486945|0|UU
AD|SANDANE-ANDA|108300|0|1|195|61829447|6111647|228|EN
AD|SANDANE ANDA|288000|0|0|195|61829567|6115939|0|EN
AD1|ASHGABAT|407000|0|0|195|38005000|58306667|0|UT
ADA|SAO PEDRO DA ALDE|345000|0|0|195|-22822961|-42096489|0|SB
ADA|SAO PEDRO DE ALDEIA|112100|1|1|195|-22812772|-42095339|48|SB
ADA|AGADIR AL MASSIRA|110300|0|1|195|30321028|-9398528|250|GM
ADA|ADANA|112700|1|1|195|36940556|35210278|49|LT
ADA|ADANA|395000|0|0|195|36970834|35261667|0|LT
ADC|LE CASTELLET|109250|0|1|195|43246111|5805278|1391|LF
ADC|LE CASTELLET|366000|0|0|195|43246111|5805278|0|LF
ADF|ARKADELPHIA|275000|0|0|195|34055589|-93105175|0|K4
ADG|ADRIAN|278000|0|0|195|41869981|-84077481|0|K5
ADH|ADA|117800|1|1|195|34802556|-96670083|987|K4
ADK|MOUNT MOFFETT|530000|0|0|195|51871897|-176676008|0|PA
ADK|MOUNT MOFFETT|114000|0|1|195|51871897|-176676008|332|PA
ADM|AGADIR AL MASSIRA|117200|1|1|195|30321945|-9383472|295|GM
ADM|ARDMORE|116700|1|1|195|34211586|-97168228|937|K4
ADN|ROBERTO|115400|1|1|195|25865442|-100238794|1270|MM
